           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
 167      7   0.1      7   0.1   5052  85.8        -  IDENTITY
 169      7   0.1      7   0.1   5066  86.1        -  MAPCAR
 170      7   0.1      7   0.1   5073  86.2        -  VARJO.INTERNALS::%MAKE-GLSL-CHUNK
 171      7   0.1      7   0.1   5080  86.3        -  SB-KERNEL:%SINGLE-FLOAT
 172      6   0.1   4500  76.4   5086  86.4        -  VARI.CL::VS-LET
 173      6   0.1   3151  53.5   5092  86.5        -  VARJO.INTERNALS::FIND-FUNCTION-IN-SET-FOR-ARGS
 174      6   0.1    185   3.1   5098  86.6        -  VARJO.INTERNALS::RESOLVE-FUNC-SET
 175      6   0.1    160   2.7   5104  86.7        -  FORMAT
 176      6   0.1     75   1.3   5110  86.8        -  (SB-PCL::FAST-METHOD INITIALIZE-INSTANCE :AFTER (VARJO.INTERNALS::AST-NODE))
 177      6   0.1     67   1.1   5116  86.9        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::GET-TYPE-DISTANCE (V-TYPE V-TYPE))
 178      6   0.1     51   0.9   5122  87.0        -  (FLET #:WRAPPER554 :IN VARJO.INTERNALS::MATCH-FUNCTION-TO-ARGS)
 179      6   0.1     42   0.7   5128  87.1        -  SB-KERNEL:%PUTHASH
 180      6   0.1     34   0.6   5134  87.2        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:GET-SYMBOL-BINDING (T T VARJO.INTERNALS::ENVIRONMENT))
 181      6   0.1     29   0.5   5140  87.3        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::STRIP-FLOW-ID (V-TYPE))
 182      6   0.1     24   0.4   5146  87.4        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::VALID-FOR-CONTEXTP (VARJO.INTERNALS:V-FUNCTION VARJO.INTERNALS::ENVIRONMENT))
 183      6   0.1     20   0.3   5152  87.5        -  (SB-PCL::EMF VARJO.INTERNALS:COMPILE-LITERAL)
 184      6   0.1     17   0.3   5158  87.6        -  (SB-PCL::FAST-METHOD SHARED-INITIALIZE (SB-PCL::SLOT-OBJECT T))
 185      6   0.1      8   0.1   5164  87.7        -  SB-IMPL::%OUTPUT-REASONABLE-INTEGER-IN-BASE
 186      6   0.1      7   0.1   5170  87.8        -  SB-KERNEL:LIST-FILL*
 187      6   0.1      6   0.1   5176  87.9        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.| SB-PCL::|.P2.| SB-PCL::|.P3.|))
 188      6   0.1      6   0.1   5182  88.0        -  VARJO.INTERNALS::BARE-ID!
