Profiler sample vector full (4286 traces / 500000 samples), doubling the size
Profiler sample vector full (8601 traces / 1000000 samples), doubling the size

Number of samples:   10679
Sample interval:     0.001 seconds
Total sampling time: 10.679001 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "control-thread" waiting on: #<WAITQUEUE  {1001E08243}> {1001E02833}>
 #<SB-THREAD:THREAD "auto-flush-thread" RUNNING {10029EFDA3}>
 #<SB-THREAD:THREAD "swank-indentation-cache-thread" waiting on: #<WAITQUEUE  {1001E100E3}> {1001E08143}>
 #<SB-THREAD:THREAD "reader-thread" RUNNING {1001E08023}>
 #<SB-THREAD:THREAD "Swank Sentinel" waiting on: #<WAITQUEUE  {1005000003}> {1004FFC713}>
 #<SB-THREAD:THREAD "main thread" RUNNING {10005E8293}>
 #<SB-THREAD:THREAD "repl-thread" RUNNING {10029F0003}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
 130     14   0.1    104   1.0   8836  82.7        -  SB-IMPL::LIST-REMOVE-DUPLICATES*
 131     14   0.1     77   0.7   8850  82.9        -  SB-KERNEL:FIND-CLASSOID-CELL
 132     14   0.1     69   0.6   8864  83.0        -  (SB-PCL::FAST-METHOD FLOW-IDS (VARJO.INTERNALS::AST-NODE))
 133     14   0.1     55   0.5   8878  83.1        -  VARJO.INTERNALS:FLOW-ID!
 134     14   0.1     54   0.5   8892  83.3        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.|))
 135     14   0.1     14   0.1   8906  83.4        -  "foreign function mach_msg_trap"
 136     13   0.1    289   2.7   8919  83.5        -  (LABELS VARJO.INTERNALS::POST-PROCESS-NODE :IN VARJO.INTERNALS::POST-PROCESS-FUNC-AST)
 137     13   0.1     81   0.8   8932  83.6        -  (FLET SB-PCL::GET-OR-PUT-CTOR :IN "SYS:SRC;PCL;CTOR.LISP")
 138     13   0.1     39   0.4   8945  83.8        -  SXHASH
 139     13   0.1     21   0.2   8958  83.9        -  (LABELS SB-IMPL::SXHASH-RECURSE :IN SXHASH)
 140     13   0.1     13   0.1   8971  84.0        -  ALEXANDRIA.0.DEV:CURRY
 141     12   0.1    297   2.8   8983  84.1        -  VARJO.INTERNALS::RESOLVE-FUNC-SET
 142     12   0.1     52   0.5   8995  84.2        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:CURRENT-LINE (T))
 143     12   0.1     42   0.4   9007  84.3        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::FLOW-ID-ORIGINS (VARJO.INTERNALS::AST-NODE))
 144     12   0.1     27   0.3   9019  84.5        -  SB-INT:EQUAL-BUT-NO-CAR-RECURSION
 145     12   0.1     17   0.2   9031  84.6        -  (LAMBDA (SB-PCL::|.P0.|))
 146     12   0.1     14   0.1   9043  84.7        -  (LAMBDA (SB-PCL::|.P0.|) :IN "/Users/Baggers/.cache/common-lisp/sbcl-1.4.4-macosx-x64/Users/Baggers/quicklisp/local-projects/the-works/varjo/src/vari.glsl/functions.fasl")
 147     12   0.1     13   0.1   9055  84.8        -  CL-PPCRE::CREATE-SCANNER-AUX
 148     12   0.1     13   0.1   9067  84.9        -  REMOVE-DUPLICATES
 149     12   0.1     12   0.1   9079  85.0        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1.) :IN "/Users/Baggers/.slime/fasl/2.20/sbcl-1.4.4-darwin-x86-64/sbcl.fasl")
 150     11   0.1     26   0.2   9090  85.1        -  VARJO.INTERNALS::ADD-GLSL-FUNCS
 151     11   0.1     23   0.2   9101  85.2        -  (SB-PCL::EMF VARJO.INTERNALS:MERGE-COMPILED)
 152     11   0.1     19   0.2   9112  85.3        -  (SB-PCL::EMF VARJO.INTERNALS:COMPILE-LITERAL)
 153     11   0.1     16   0.1   9123  85.4        -  SB-KERNEL:%FIND-POSITION-IF
 154     11   0.1     13   0.1   9134  85.5        -  SEARCH
 155     11   0.1     11   0.1   9145  85.6        -  SB-THREAD:MAKE-MUTEX
 156     11   0.1     11   0.1   9156  85.7        -  SB-PCL::VALID-WRAPPER-OF
 157     10   0.1    112   1.0   9166  85.8        -  (LABELS SB-IMPL::PRINT-IT :IN SB-KERNEL:OUTPUT-OBJECT)
 158     10   0.1     89   0.8   9176  85.9        -  VARJO.INTERNALS::VALID-TYPE-SET-P
 159     10   0.1     58   0.5   9186  86.0        -  (FLET SB-IMPL::REPLACE-ALL :IN GET-OUTPUT-STREAM-STRING)
 160     10   0.1     54   0.5   9196  86.1        -  V-ERRORP
 161     10   0.1     30   0.3   9206  86.2        -  (LAMBDA (VARJO.INTERNALS::_) :IN VARJO.INTERNALS::GET-FORM-BINDING)
 162     10   0.1     26   0.2   9216  86.3        -  VARJO.INTERNALS::VTYPE-EXISTSP
 163     10   0.1     15   0.1   9226  86.4        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.|))
 164     10   0.1     10   0.1   9236  86.5        -  VARJO.UTILS:LISTIFY
 165     10   0.1     10   0.1   9246  86.6        -  CL-PPCRE::MAKE-LEXER
 166     10   0.1     10   0.1   9256  86.7        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1. SB-INT:&MORE SB-PCL::.MORE-CONTEXT. SB-PCL::.MORE-COUNT.) :IN "SYS:SRC;PCL;DLISP3.LISP")
 167     10   0.1     10   0.1   9266  86.8        -  SB-KERNEL:LIST-FILL*
 168     10   0.1     10   0.1   9276  86.9        -  (SB-PCL::FAST-METHOD INITIALIZE-INSTANCE :AFTER (V-TYPE))
 169     10   0.1     10   0.1   9286  87.0        -  VARJO.INTERNALS::ASSERT-FLOW-ID-SINGULARITY
 170      9   0.1   8087  75.7   9295  87.0        -  MAPCAR
 171      9   0.1    971   9.1   9304  87.1        -  VARJO.INTERNALS::COMPILE-REGULAR-FUNCTION-CALL
 172      9   0.1    299   2.8   9313  87.2        -  (LABELS SB-IMPL::HANDLE-IT :IN SB-KERNEL:OUTPUT-OBJECT)
 173      9   0.1    261   2.4   9322  87.3        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:COMPILE-LITERAL (T T))
 174      9   0.1     46   0.4   9331  87.4        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::GET-EXTERNAL-FUNCTION-BY-NAME (T T))
 175      9   0.1     36   0.3   9340  87.5        -  VARJO.INTERNALS:FRESH-ENVIRONMENT
 176      9   0.1     36   0.3   9349  87.5        -  VARJO.INTERNALS::GEN-FUNCTION-STRING
 177      9   0.1     15   0.1   9358  87.6        -  (LAMBDA (SB-PCL::|.P1.|) :IN "/Users/Baggers/.cache/common-lisp/sbcl-1.4.4-macosx-x64/Users/Baggers/quicklisp/dists/quicklisp/software/cl-ppcre-2.0.11/api.fasl")
 178      9   0.1     10   0.1   9367  87.7        -  (LAMBDA (SB-PCL::|.P0.|) :IN "/Users/Baggers/.cache/common-lisp/sbcl-1.4.4-macosx-x64/Users/Baggers/quicklisp/local-projects/the-works/rtg-math/vari/functions.fasl")
 179      9   0.1      9   0.1   9376  87.8        -  SB-IMPL::LIST-NREVERSE
