           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
 116      1   0.0     13   0.1  17711  99.6        -  (LABELS SB-IMPL::HANDLE-IT :IN SB-KERNEL:OUTPUT-OBJECT)
 117      1   0.0     12   0.1  17712  99.6        -  VARJO.INTERNALS::GEN-GLSL-STRING-FOR-SYMBOL
 118      1   0.0     12   0.1  17713  99.6        -  VARI.CL::COMPILE-GLSL-EXPRESSION-STRING
 119      1   0.0     12   0.1  17714  99.6        -  FIND-AND-EXPAND-COMPILER-MACRO
 120      1   0.0     11   0.1  17715  99.6        -  MAKE-TYPE-SET
 121      1   0.0     10   0.1  17716  99.6        -  VARJO.INTERNALS:MAKE-COMPILED
 122      1   0.0     10   0.1  17717  99.6        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.| SB-PCL::|.P2.| SB-PCL::|.P3.| SB-PCL::|.P4.| SB-PCL::|.P5.| SB-PCL::|.P6.| SB-PCL::|.P7.| SB-PCL::|.P8.| SB-PCL::|.P9.| SB-PCL::|.P10.| SB-PCL::|.P11.|))
 123      1   0.0     10   0.1  17718  99.6        -  (LABELS VARJO.INTERNALS::ENSURE-ENV :IN COMPILE-FORM)
 124      1   0.0      7   0.0  17719  99.6        -  VARJO.INTERNALS::FLOW-ID+META!
 125      1   0.0      5   0.0  17720  99.6        -  (FLET SB-IMPL::REPLACE-ALL :IN GET-OUTPUT-STREAM-STRING)
 126      1   0.0      5   0.0  17721  99.6        -  MAKE-HASH-TABLE
 127      1   0.0      5   0.0  17722  99.6        -  VARJO.UTILS:NTH-OR-SELF
 128      1   0.0      4   0.0  17723  99.7        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:PRIMARY-TYPE (VECTOR))
 129      1   0.0      4   0.0  17724  99.7        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:COPY-COMPILED (VARJO.INTERNALS:COMPILED))
 130      1   0.0      3   0.0  17725  99.7        -  VARJO.INTERNALS:FRESH-ENVIRONMENT
 131      1   0.0      3   0.0  17726  99.7        -  SB-FORMAT::A-FORMAT-DIRECTIVE-INTERPRETER
 132      1   0.0      3   0.0  17727  99.7        -  TYPE-OF
 133      1   0.0      3   0.0  17728  99.7        -  (LAMBDA (STRING CL-PPCRE::START CL-PPCRE::END) :IN CL-PPCRE::CREATE-SCANNER-AUX)
 134      1   0.0      3   0.0  17729  99.7        -  SB-KERNEL:%MAP-TO-LIST-ARITY-1
 135      1   0.0      3   0.0  17730  99.7        -  VARJO.INTERNALS::GLSL-CHUNK-TO-STRING
 136      1   0.0      3   0.0  17731  99.7        -  SB-IMPL::VECTOR-SUBSEQ-DISPATCH/SIMPLE-CHARACTER-STRING
 137      1   0.0      2   0.0  17732  99.7        -  EPHEMERAL-P
 138      1   0.0      2   0.0  17733  99.7        -  (FLET #:WRAPPER5 :IN VARJO.INTERNALS:MAKE-COMPILED)
 139      1   0.0      2   0.0  17734  99.7        -  SB-KERNEL:FIND-CLASSOID
 140      1   0.0      2   0.0  17735  99.7        -  SEARCH
 141      1   0.0      2   0.0  17736  99.7        -  (LABELS VARJO.INTERNALS::CALC-SECONDARY-SCORE :IN VARJO.INTERNALS::BASIC-ARG-MATCHP)
 142      1   0.0      2   0.0  17737  99.7        -  VARJO.INTERNALS::FUNCTION-RETURN-SPEC-DOESNT-NEED-FLOW-IDS
 143      1   0.0      1   0.0  17738  99.7        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.| SB-PCL::|.P2.| SB-PCL::|.P4.| SB-PCL::|.P5.| SB-PCL::|.P6.| SB-PCL::|.P7.| SB-PCL::|.P8.| SB-PCL::|.P9.|))
 144      1   0.0      1   0.0  17739  99.7        -  SB-VM::FILL-VECTOR/T
 145      1   0.0      1   0.0  17740  99.7        -  VARJO.INTERNALS::ASSERT-FLOW-ID-SINGULARITY
 146      1   0.0      1   0.0  17741  99.8        -  SB-PCL::%MAKE-STANDARD-INSTANCE
