Number of samples:   3372
Sample interval:     0.01 seconds
Total sampling time: 33.719997 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "auto-flush-thread" RUNNING {10030F7DA3}>
 #<SB-THREAD:THREAD "repl-thread" RUNNING {10030F7FA3}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
 103      1   0.0      1   0.0   3210  95.2        -  ELT
 104      1   0.0      1   0.0   3211  95.2        -  EPHEMERAL-P
 105      1   0.0      1   0.0   3212  95.3        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1.) :IN "/home/christophe/src/sbcl-release-dir-20170530-aobhhg1yU/sbcl-1.3.18/src/pcl/braid.fasl")
 106      1   0.0      1   0.0   3213  95.3        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1. SB-INT:&MORE SB-PCL::.MORE-CONTEXT. SB-PCL::.MORE-COUNT.))
 107      1   0.0      1   0.0   3214  95.3        -  (SB-PCL::EMF VARJO.INTERNALS:MERGE-COMPILED)
 108      1   0.0      1   0.0   3215  95.3        -  (LAMBDA (SB-PCL::.ARG0.) :IN "/home/christophe/src/sbcl-release-dir-20170530-aobhhg1yU/sbcl-1.3.18/src/pcl/braid.fasl")
 109      1   0.0      1   0.0   3216  95.4        -  REMOVE-IF
 110      1   0.0      1   0.0   3217  95.4        -  WRITE-STRING
 111      1   0.0      1   0.0   3218  95.4        -  (LAMBDA (SB-PCL::.ARG0. SB-INT:&MORE SB-PCL::.DFUN-MORE-CONTEXT. SB-PCL::.DFUN-MORE-COUNT.) :IN "/home/baggers/.cache/common-lisp/sbcl-1.3.18-linux-x64/home/baggers/quicklisp/local-projects/the-works/varjo/src/varjo.internals/deftype.fasl")
 112      1   0.0      1   0.0   3219  95.5        -  SB-VM::FILL-VECTOR/T
 113      1   0.0      1   0.0   3220  95.5        -  (LAMBDA (SB-PCL::.ARG0.) :IN "/home/christophe/src/sbcl-release-dir-20170530-aobhhg1yU/sbcl-1.3.18/src/pcl/braid.fasl")
 114      1   0.0      1   0.0   3221  95.5        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:V-VOIDP (V-TYPE))
 115      1   0.0      1   0.0   3222  95.6        -  (SB-PCL::FAST-METHOD INITIALIZE-INSTANCE :AFTER (V-TYPE))
 116      1   0.0      1   0.0   3223  95.6        -  SB-IMPL::VECTOR-TO-LIST*
 117      1   0.0      1   0.0   3224  95.6        -  SB-IMPL::ALLOC-HASH-CACHE-LINE/2
 118      1   0.0      1   0.0   3225  95.6        -  SB-KERNEL:VECTOR-SUBSEQ*
 119      1   0.0      1   0.0   3226  95.7        -  SB-KERNEL:UB8-BASH-COPY
 120      1   0.0      1   0.0   3227  95.7        -  SB-C::CHECK-DS-LIST
 121      1   0.0      1   0.0   3228  95.7        -  (SB-PCL::EMF VARJO.INTERNALS:COMPILE-LITERAL)
 122      1   0.0      1   0.0   3229  95.8        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1.) :IN "/home/christophe/src/sbcl-release-dir-20170530-aobhhg1yU/sbcl-1.3.18/src/pcl/braid.fasl")
 123      1   0.0      1   0.0   3230  95.8        -  MAPCAR
 124      1   0.0      1   0.0   3231  95.8        -  (LAMBDA (SB-KERNEL::CACHE SB-KERNEL::OBJECT) :IN SB-KERNEL::CACHED-TYPEP)
 125      1   0.0      1   0.0   3232  95.8        -  (LAMBDA (SB-IMPL::BUFFER SB-IMPL::FROM) :IN GET-OUTPUT-STREAM-STRING)
 126      1   0.0      1   0.0   3233  95.9        -  VARJO.INTERNALS::GLSL-LEN
 127      0   0.0   3368  99.9   3233  95.9        -  (SB-PCL::FAST-METHOD TRANSLATE (VARJO.INTERNALS:STAGE))
 128      0   0.0   3368  99.9   3233  95.9        -  SB-INT:SIMPLE-EVAL-IN-LEXENV
 129      0   0.0   3368  99.9   3233  95.9        -  SB-IMPL::SIMPLE-EVAL-PROGN-BODY
 130      0   0.0   3368  99.9   3233  95.9        -  EVAL
 131      0   0.0   3368  99.9   3233  95.9        -  SWANK::EVAL-REGION
 132      0   0.0   3368  99.9   3233  95.9        -  (LAMBDA NIL :IN SWANK-REPL::REPL-EVAL)
 133      0   0.0   3368  99.9   3233  95.9        -  SWANK-REPL::TRACK-PACKAGE
 134      0   0.0   3368  99.9   3233  95.9        -  SWANK::CALL-WITH-RETRY-RESTART
 135      0   0.0   3368  99.9   3233  95.9        -  SWANK::CALL-WITH-BUFFER-SYNTAX
 136      0   0.0   3368  99.9   3233  95.9        -  SWANK-REPL::REPL-EVAL
 137      0   0.0   3368  99.9   3233  95.9        -  SWANK:EVAL-FOR-EMACS
 138      0   0.0   3368  99.9   3233  95.9        -  SWANK::PROCESS-REQUESTS
 139      0   0.0   3368  99.9   3233  95.9        -  (LAMBDA NIL :IN SWANK::HANDLE-REQUESTS)
 140      0   0.0   3368  99.9   3233  95.9        -  SWANK/SBCL::CALL-WITH-BREAK-HOOK
 141      0   0.0   3368  99.9   3233  95.9        -  (FLET SWANK/BACKEND:CALL-WITH-DEBUGGER-HOOK :IN "/home/baggers/quicklisp/dists/quicklisp/software/slime-v2.20/swank/sbcl.lisp")
 142      0   0.0   3368  99.9   3233  95.9        -  SWANK::CALL-WITH-BINDINGS
 143      0   0.0   3368  99.9   3233  95.9        -  SWANK::HANDLE-REQUESTS
 144      0   0.0   3368  99.9   3233  95.9        -  (FLET #:WITHOUT-INTERRUPTS-BODY-1127 :IN SB-THREAD::INITIAL-THREAD-FUNCTION-TRAMPOLINE)
 145      0   0.0   3368  99.9   3233  95.9        -  (FLET SB-THREAD::WITH-MUTEX-THUNK :IN SB-THREAD::INITIAL-THREAD-FUNCTION-TRAMPOLINE)
 146      0   0.0   3368  99.9   3233  95.9        -  (FLET #:WITHOUT-INTERRUPTS-BODY-358 :IN SB-THREAD::CALL-WITH-MUTEX)
 147      0   0.0   3368  99.9   3233  95.9        -  SB-THREAD::CALL-WITH-MUTEX
 148      0   0.0   3368  99.9   3233  95.9        -  SB-THREAD::INITIAL-THREAD-FUNCTION-TRAMPOLINE
 149      0   0.0   3368  99.9   3233  95.9        -  "foreign function call_into_lisp"
 150      0   0.0   3368  99.9   3233  95.9        -  "foreign function new_thread_trampoline"
 151      0   0.0   3367  99.9   3233  95.9        -  VARJO.INTERNALS::MAKE-REGULAR-FUNCTION
 152      0   0.0   3367  99.9   3233  95.9        -  VARJO.INTERNALS::COMPILE-PASS
 153      0   0.0   3366  99.8   3233  95.9        -  VARI.CL::VS-FLET
 154      0   0.0   3366  99.8   3233  95.9        -  VARJO.INTERNALS::COMPILE-FUNCTION-CALL
 155      0   0.0   3366  99.8   3233  95.9        -  VARJO.INTERNALS:COMPILE-PROGN
 156      0   0.0   3366  99.8   3233  95.9        -  VARI.CL::VS-LET
 157      0   0.0   3366  99.8   3233  95.9        -  VARI.CL::VS-RETURN
 158      0   0.0   2032  60.3   3233  95.9        -  VARI.CL::GEN-CASE-USING-SWITCH
 159      0   0.0   2000  59.3   3233  95.9        -  VARJO.INTERNALS::COMPILE-CALL-FORM
 160      0   0.0   1328  39.4   3233  95.9        -  VARJO.INTERNALS:COMPILE-FORMS-NOT-PROPAGATING-ENV-RETURNING-LIST-OF-COMPILED
 161      0   0.0   1327  39.4   3233  95.9        -  (LAMBDA (VARJO.INTERNALS:ENV VARI.CL::D) :IN VARI.CL::VS-FLET)
 162      0   0.0   1327  39.4   3233  95.9        -  (LAMBDA (&REST VARJO.INTERNALS:ARGS) :IN VARJO.INTERNALS:COMPILE-FORMS-NOT-PROPAGATING-ENV-RETURNING-LIST-OF-COMPILED)
 163      0   0.0   1187  35.2   3233  95.9        -  SB-KERNEL:%FIND-POSITION-IF-NOT
 164      0   0.0   1187  35.2   3233  95.9        -  VARJO.INTERNALS::LIKELY-RECURSION-P
 165      0   0.0     50   1.5   3233  95.9        -  VARJO.INTERNALS::COMPILE-CALL-WITH-SET-OF-FUNCTIONS
 166      0   0.0     47   1.4   3233  95.9        -  VARJO.INTERNALS::FIND-FUNCTIONS-IN-SET-FOR-ARGS
 167      0   0.0     42   1.2   3233  95.9        -  VARJO.INTERNALS::COMPILE-REGULAR-FUNCTION-CALL
 168      0   0.0     21   0.6   3233  95.9        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:COMPILE-LITERAL (T T))
 169      0   0.0     18   0.5   3233  95.9        -  FORMAT
 170      0   0.0     16   0.5   3233  95.9        -  PRINC
 171      0   0.0     16   0.5   3233  95.9        -  VARJO.INTERNALS::COMPILE-NUMBER
 172      0   0.0     13   0.4   3233  95.9        -  VARJO.INTERNALS::RESOLVE-FUNC-SET
 173      0   0.0     11   0.3   3233  95.9        -  VARI.CL::VS-%GLSL-EXPR
 174      0   0.0     10   0.3   3233  95.9        -  SB-IMPL::%MAP-TO-LIST
 175      0   0.0     10   0.3   3233  95.9        -  SB-KERNEL:%MAP
 176      0   0.0     10   0.3   3233  95.9        -  EQ
 177      0   0.0      8   0.2   3233  95.9        -  VARJO.INTERNALS::BASIC-ARG-MATCHP
 178      0   0.0      7   0.2   3233  95.9        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:MERGE-COMPILED (LIST))
 179      0   0.0      7   0.2   3233  95.9        -  VARJO.INTERNALS::GEN-GLSL-STRING-FOR-SYMBOL
 180      0   0.0      7   0.2   3233  95.9        -  VARJO.INTERNALS::GEN-NUMBER-STRING
 181      0   0.0      7   0.2   3233  95.9        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::COPY-TYPE (V-TYPE))
 182      0   0.0      7   0.2   3233  95.9        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:REPLACE-FLOW-ID (V-TYPE VARJO.INTERNALS:FLOW-IDENTIFIER))
 183      0   0.0      7   0.2   3233  95.9        -  (FLET SB-IMPL::F :IN SB-IMPL::%MAP-TO-LIST)
 184      0   0.0      6   0.2   3233  95.9        -  (LABELS VARJO.INTERNALS::ENSURE-ENV :IN COMPILE-FORM)
 185      0   0.0      5   0.1   3233  95.9        -  (LABELS SB-IMPL::PRINT-IT :IN SB-KERNEL:OUTPUT-OBJECT)
 186      0   0.0      5   0.1   3233  95.9        -  VARJO.INTERNALS::GEN-FUNCTION-BODY-STRING
 187      0   0.0      5   0.1   3233  95.9        -  ALEXANDRIA.0.DEV:MAPPEND
 188      0   0.0      4   0.1   3233  95.9        -  (SB-PCL::FAST-METHOD TYPE-SPEC->TYPE (T))
 189      0   0.0      4   0.1   3233  95.9        -  VARI.CL::VS-CASE
 190      0   0.0      3   0.1   3233  95.9        -  VARJO.INTERNALS::GET-VERSION-FROM-CONTEXT-LIST
 191      0   0.0      3   0.1   3233  95.9        -  SB-KERNEL:%FIND-POSITION-IF
 192      0   0.0      3   0.1   3233  95.9        -  VARJO.INTERNALS:V-RETURNED-P
 193      0   0.0      3   0.1   3233  95.9        -  VARJO.INTERNALS::CALC-REGULAR-FUNCTION-RETURN-IDS-GIVEN-ARGS
 194      0   0.0      3   0.1   3233  95.9        -  "foreign function __poll"
 195      0   0.0      3   0.1   3233  95.9        -  MAKE-TYPE-SET
 196      0   0.0      3   0.1   3233  95.9        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:SET-FLOW-ID (V-TYPE VARJO.INTERNALS:FLOW-IDENTIFIER))
 197      0   0.0      3   0.1   3233  95.9        -  (FLET #:WRAPPER7 :IN VARJO.INTERNALS:MAKE-FUNCTION-SET)
 198      0   0.0      3   0.1   3233  95.9        -  VARI.CL::GEN-CHUNK-FOR-CONDITIONAL-ARM
 199      0   0.0      3   0.1   3233  95.9        -  VARI.CL::GEN-STRING-FOR-SWITCH-FORM
 200      0   0.0      2   0.1   3233  95.9        -  (SB-PCL::FAST-METHOD V-SPECIAL-FUNCTIONP (VARJO.INTERNALS:V-FUNCTION))
 201      0   0.0      2   0.1   3233  95.9        -  REDUCE
 202      0   0.0      2   0.1   3233  95.9        -  (LAMBDA (SB-PCL::|.P0.|))
 203      0   0.0      2   0.1   3233  95.9        -  UIOP/UTILITY:STRING-PREFIX-P
 204      0   0.0      2   0.1   3233  95.9        -  VARJO.INTERNALS::GLSL-VAR-NAMEP
 205      0   0.0      2   0.1   3233  95.9        -  VARJO.INTERNALS::VALID-USER-DEFINED-NAME
 206      0   0.0      2   0.1   3233  95.9        -  (LABELS VARJO.INTERNALS::CALC-SECONDARY-SCORE :IN VARJO.INTERNALS::BASIC-ARG-MATCHP)
 207      0   0.0      2   0.1   3233  95.9        -  VARJO.INTERNALS::GLSL-CHUNK-TO-STRING
 208      0   0.0      2   0.1   3233  95.9        -  VARJO.INTERNALS:MAKE-TYPE-SET*
 209      0   0.0      2   0.1   3233  95.9        -  SB-IMPL::STRING-SOUT
 210      0   0.0      1   0.0   3233  95.9        -  VARJO.INTERNALS:ID~=
 211      0   0.0      1   0.0   3233  95.9        -  (LABELS VARJO.UTILS::F :IN VARJO.UTILS:POSITIONS-IF)
 212      0   0.0      1   0.0   3233  95.9        -  VARJO.UTILS:POSITIONS-IF
 213      0   0.0      1   0.0   3233  95.9        -  VARJO.INTERNALS::%CALC-FLOW-ID-GIVEN-ARGS
 214      0   0.0      1   0.0   3233  95.9        -  (FLET #:WRAPPER222 :IN VARJO.INTERNALS::MAKE-USER-FUNCTION-OBJ)
 215      0   0.0      1   0.0   3233  95.9        -  "foreign function interrupt_handle_pending"
 216      0   0.0      1   0.0   3233  95.9        -  "foreign function handle_trap"
 217      0   0.0      1   0.0   3233  95.9        -  SXHASH
 218      0   0.0      1   0.0   3233  95.9        -  SB-IMPL::EQUAL-HASH
 219      0   0.0      1   0.0   3233  95.9        -  VARJO.INTERNALS:CALC-PLACE-TREE
 220      0   0.0      1   0.0   3233  95.9        -  SB-KERNEL::VALUES-SPECIFIER-TYPE-R
 221      0   0.0      1   0.0   3233  95.9        -  SB-KERNEL::SPECIFIER-TYPE-R
